gt,predictions
0,0.4998
0,0.4993
0,0.5005
0,0.4983
0,0.5
0,0.5005
0,0.4998
1,0.5
0,0.501
1,0.5005
0,0.5005
1,0.5005
1,0.5
1,0.4998
1,0.4998
1,0.5
1,0.5005
0,0.5205
1,0.4998
1,0.5
0,0.5005
1,0.5005
1,0.501
0,0.502
1,0.5005
0,0.5
0,0.5
0,0.4998
0,0.4993
1,0.5
0,0.5005
1,0.5
0,0.4998
1,0.501
0,0.501
1,0.4998
0,0.4998
1,0.5005
1,0.4998
0,0.529
0,0.5005
0,0.4998
0,0.4998
1,0.506
0,0.5005
0,0.499
0,0.4998
0,0.4988
1,0.5005
0,0.5005
1,0.4998
1,0.5
1,0.5
1,0.5005
1,0.5
1,0.527
1,0.5
1,0.5005
1,0.4998
1,0.501
1,0.5
1,0.501
1,0.5
1,0.502
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5
1,0.4998
1,0.5
1,0.5015
1,0.5005
1,0.5
1,0.5
1,0.5024
1,0.5
1,0.4998
1,0.5
1,0.5005
1,0.5005
1,0.5566
1,0.501
1,0.4998
1,0.5
1,0.5225
1,0.5044
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5005
1,0.5
1,0.5
1,0.5054
1,0.5005
1,0.5005
1,0.5
1,0.5005
1,0.5005
1,0.4998
1,0.5
1,0.5005
1,0.5
1,0.5
1,0.502
1,0.5
